0, 0, "Esc", 2, 2

4, 0, "F1", 2, 2
6, 0, "F2", 2, 2
8, 0, "F3", 2, 2
10, 0, "F4", 2, 2
13, 0, "F5", 2, 2
15, 0, "F6", 2, 2
17, 0, "F7", 2, 2
19, 0, "F8", 2, 2
22, 0, "F9", 2, 2
24, 0, "F10", 2, 2
26, 0, "F11", 2, 2
28, 0, "F12", 2, 2

31, 0, "PS", 2, 2
33, 0, "SL", 2, 2
35, 0, "Brk", 2, 2


0, 3, "`", 2, 2
2, 3, "1", 2, 2
4, 3, "2", 2, 2
6, 3, "3", 2, 2
8, 3, "4", 2, 2
10, 3, "5", 2, 2
12, 3, "6", 2, 2
14, 3, "7", 2, 2
16, 3, "8", 2, 2
18, 3, "9", 2, 2
20, 3, "0", 2, 2
22, 3, "-", 2, 2
24, 3, "=", 2, 2
26, 3, "BS", 4, 2

0, 5, "Tab", 3, 2
3, 5, "Q", 2, 2
5, 5, "W", 2, 2
7, 5, "E", 2, 2
9, 5, "R", 2, 2
11, 5, "T", 2, 2
13, 5, "Y", 2, 2
15, 5, "U", 2, 2
17, 5, "I", 2, 2
19, 5, "O", 2, 2
21, 5, "P", 2, 2
23, 5, "[", 2, 2
25, 5, "]", 2, 2
27, 5, "\", 3, 2

0, 7, "Caps", 4, 2
4, 7, "A", 2, 2
6, 7, "S", 2, 2
8, 7, "D", 2, 2
10, 7, "F", 2, 2
12, 7, "G", 2, 2
14, 7, "H", 2, 2
16, 7, "J", 2, 2
18, 7, "K", 2, 2
20, 7, "L", 2, 2
22, 7, ";", 2, 2
24, 7, "'", 2, 2
26, 7, "Ret", 4, 2

0, 9, "Shift", 5, 2
5, 9, "Z", 2, 2
7, 9, "X", 2, 2
9, 9, "C", 2, 2
11, 9, "V", 2, 2
13, 9, "B", 2, 2
15, 9, "N", 2, 2
17, 9, "M", 2, 2
19, 9, ",", 2, 2
21, 9, ".", 2, 2
23, 9, "/", 2, 2
25, 9, "Shift", 5, 2

0, 11, "Ctrl", 3, 2
3, 11, "Win", 3, 2
6, 11, "Alt", 3, 2
9, 11, " ", 12, 2
21, 11, "Alt", 3, 2
24, 11, "Win", 3, 2
27, 11, "Ctrl", 3, 2

31, 3, "Ins", 2, 2
33, 3, "Hom", 2, 2
35, 3, "PgU", 2, 2
31, 5, "Del", 2, 2
33, 5, "End", 2, 2
35, 5, "PgD", 2, 2

33, 9, "{128}", 2, 2
31, 11, "{131}", 2, 2
33, 11, "{129}", 2, 2
35, 11, "{130}", 2, 2

38, 3, "NL", 2, 2
40, 3, "/", 2, 2
42, 3, "*", 2, 2
44, 3, "-", 2, 2
38, 5, "7", 2, 2
40, 5, "8", 2, 2
42, 5, "9", 2, 2
44, 5, "+", 2, 4
38, 7, "4", 2, 2
40, 7, "5", 2, 2
42, 7, "6", 2, 2
38, 9, "1", 2, 2
40, 9, "2", 2, 2
42, 9, "3", 2, 2
44, 9, "Ent", 2, 4
38, 11, "0", 4, 2
42, 11, ".", 2, 2
